,Unit,Turn,B4,B2
1,"I don't know that I'd say it's the most IMPORTANT charity, but it is an important one, yes.",0,1,20180831-221232_645_live
2,children are future and saving them should be priority,1,0,20180831-221232_645_live
3,"Okay, so how do we make them a priority?",1,1,20180831-221232_645_live
4,if children doesn't have a future no country can progress,2,0,20180831-221232_645_live
5,"Okay, and how do you plan to help to give children a future?",2,1,20180831-221232_645_live
6,i think we should donate some money for this cause,3,0,20180831-221232_645_live
7,Can you tell me anything about this cause? What is their mission? What do they do? Who do they help (besides children)? Where are these children they're helping?,3,1,20180831-221232_645_live
8,the have a website  URL ,4,0,20180831-221232_645_live
9,But you specifically are the one asking me to donate?,4,1,20180831-221232_645_live
10,yes if you agree they same you donate I can donate also and it will be from task money,5,0,20180831-221232_645_live
11,but you can't tell me anything about the cause...that doesn't make me feel like what you're saying is truthful as in you're going to match my donation,5,1,20180831-221232_645_live
12,"this money goes for a cause one example is millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence",6,0,20180831-221232_645_live
13,"Question, is it just for oversea's children?",6,1,20180831-221232_645_live
14,no children in need all over the world. It's US based website please see,7,0,20180831-221232_645_live
15,"You as a ""spokesperson",7,1,20180831-221232_645_live
16,if you are interested we both can donate some money out of our task money,8,0,20180831-221232_645_live
17,"I think I am interested in donating directly through the website that you directed me to - I'm not sure if you are aware, but they have several means of donating. ",8,1,20180831-221232_645_live
18,that's fine. it's up to you,9,0,20180831-221232_645_live
19,"Unfortunately, having to research the charity myself - seems like the better option. But, you are right it is a good cause and if you are serious I hope you still donate.",9,1,20180831-221232_645_live
0,Hello! Thank you so much for taking time to talk to me today. How are you doing?,0,0,20180831-122246_544_live
1,Hi. I'm doing good. Thanks.  ANd you?,0,1,20180831-122246_544_live
2,"I'm doing okay, but I could be doing better.",1,0,20180831-122246_544_live
3,Yeah.  Same here to be honest.  I'm just glad the weekend is coming,1,1,20180831-122246_544_live
4,"I am very blessed to be able to enjoy my weekend, there are many people in this world who are not so fortunate to enjoy theirs. ",2,0,20180831-122246_544_live
5,Yeah. You can say that again.  A lot of people don't even get them.  THey just work all the time.,2,1,20180831-122246_544_live
6,I use to be one of those people. I feel bad for children who have little control of their situation and can't even enjoy their childhood.,3,0,20180831-122246_544_live
7,I agree. They are just born into difficult situations.  They don't have a say in it.  It's really sad.,3,1,20180831-122246_544_live
8,"Exactly! Have you heard of the Save the Children charity? Tehy provide Health resources, education, protection and emergency relief to children around the world.",4,0,20180831-122246_544_live
9,No. I haven't. But that's very interesting.  They're doing good work it seems,4,1,20180831-122246_544_live
10,"Yes, they are trying their best but there never seems to be enough. Children are still dieing of hunger and others are growing up in war zones constantly under attack. ",5,0,20180831-122246_544_live
11,Yeah. I know. The numbers are really bad.  It's sad and it feels like sometimes there's nothing we can do about it.,5,1,20180831-122246_544_live
12,"I know that is how it feels but their is something we can do about it. We can donate to Save the Children. They are a professional orgization with international impact, it is a trustable fund that uses the money for its intended purposes. Even the smallest donation amount has an impact on an orginization like this one. For the same amount that gets spent in vending machienes at school/work, or the cost of a starbucks coffee, would really help Save the Children's charity. ",6,0,20180831-122246_544_live
13,Wow.  I didn't know that about the small donations. I always thought only large donations help.,6,1,20180831-122246_544_live
14,"Never discount the small donations, they add up over time. Larger donations make a bigger impact (of course!) but not many people are able to donate such a big chunk at a time. If we were all able to donate our entire income to the charity at least once then we could begin to really Save the Children. Do you think you would be able to do that?",7,0,20180831-122246_544_live
15,"If you think it will help, then yes I will.",7,1,20180831-122246_544_live
16,You are truly an amazing person. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2),8,0,20180831-122246_544_live
17,I will donate 25 cents today.,8,1,20180831-122246_544_live
18,thank you so much for your donation today. The reasearch team will collect all donations and send them to Save the Children. Have a blessed weekend!,9,0,20180831-122246_544_live
19,Ok. Sounds good.  Thanks.  You too!!!,9,1,20180831-122246_544_live
0,Good morning,0,0,20180831-063536_532_live
1,Good morning ,0,1,20180831-063536_532_live
2,"We are seeking donations for the ""Save the Children"" foundation which helps support children rights to health, education, safety",1,0,20180831-063536_532_live
3,that is good job i really appreciated you and i am proud of those who do such a things ,1,1,20180831-063536_532_live
4,"The support will be going to developing countries to also provide relief , would you be interstedin making a donation? We accept from $ .01 to $2.00. Any little will help",2,0,20180831-063536_532_live
5,yes i am ready to help for humanity becouse that my duty to help them ,2,1,20180831-063536_532_live
6,How much would you like to donate? The minimum is $.01 and our goal is the max of $2.00,3,0,20180831-063536_532_live
7,i will give you know 0.25$,3,1,20180831-063536_532_live
8,Thank you very much for your donation!!,4,0,20180831-063536_532_live
9,you welcome as human that is my duty ,4,1,20180831-063536_532_live
10,"You are helping many children with this donation, have a great day and THANK YOU again!!",5,0,20180831-063536_532_live
11,thanks from you that get me such chance to help others ,5,1,20180831-063536_532_live
12,"Absolutly, ever bit helps",6,0,20180831-063536_532_live
13,thanks i am proud of people who do such things,6,1,20180831-063536_532_live
14,Save the Children would like to thank you for your donation,7,0,20180831-063536_532_live
15,thanks from you to and i want from you to continue such action and never stop helping others,7,1,20180831-063536_532_live
16,"Yes, there is much lack of support in these countries and we need to help as mucha as possible",8,0,20180831-063536_532_live
17,i want for you more energy to do such things and help others when we help some one then other will help us ,8,1,20180831-063536_532_live
18,"Yes, I agree as well, there needs to be more help from everybody",9,0,20180831-063536_532_live
19,yes i am thank full from you and if i can i will help a more and more with them ,9,1,20180831-063536_532_live
0,Could you please donate all of your$2 to Save the Children?  Hunger kills millions of children worldwide ever year.,0,0,20180831-081945_112_live
1,"No thank you, I understand that hunger kills millions of children world wide every year, however the CEO's of that company are multi billionaire entrepreneurs. ",0,1,20180831-081945_112_live
2,Save the Children has been around since 1919 qng is top rated by Charity Watch.,1,0,20180831-081945_112_live
3,"How much of the Save the Children money, go to children in the United States?",1,1,20180831-081945_112_live
4,"In fiscal year 2016, on average, 86.5% of all expenditures support program services. 86.5% is an average for all of Save the Children's programs worldwide.",2,0,20180831-081945_112_live
5,"I don't agree with the fact that they give so much to Britians poor families, when poor families in America could use money through this charity",2,1,20180831-081945_112_live
6,"What makes American children more needy?  To be honest, not having a cell phone is hardly poverty. American children are hardly in the situation that many African children are",3,0,20180831-081945_112_live
7,"I feel that if America is going to be at the forefront of a charity...it should be helping our own...for instance, our veterans are highly under benefited and paid!!!!  Why not give to them!!!  Maybe Africa's government should do something about their needy children since this charity expects the U.S. to do something about theirs!!",3,1,20180831-081945_112_live
8,Why not be charitable to all?  $2 is hardly a sum to argue about.  17 cents can feed  child overseas.  12 kids could be fed today with that money.  Hope didn't go to Starbucks today and get a $4 coffee.  Now that's a corporate contribution.,4,0,20180831-081945_112_live
9,No I don't spend my money at Starbucks because they don't support gun rights...  For being an ambassador for this charity you are sure quick into bullying someone to give to this charity!!!,4,1,20180831-081945_112_live
10,"I'm not being a bully. Ok, if $2 is too much, how about $1?  I'm with you on gun rights BTW.",5,0,20180831-081945_112_live
11,"I tell you what I will feed one over sees child at .12, I take these task roles, to make money not give it away...if I wasn't living paycheck to paycheck I would not be doing them.",5,1,20180831-081945_112_live
12,I'm in the same boat.  I need the money too.  But it wouldn't hurt to give a little.  MTurk doesn't exactly pay subsistence wages.  ,6,0,20180831-081945_112_live
13,"Your right, but every little bit helps!  When you have two children and have a husband that works his butt off, and you are a college student...you have to do something to fill in the gaps",6,1,20180831-081945_112_live
14,I'm a retiree. Let's say Social Security isn't a treasure trove either.,7,0,20180831-081945_112_live
15,"I know the boat your in too, I have grandparents that can barely make ends meet.  With what they bring in, in social security payments. ",7,1,20180831-081945_112_live
16,"Despite all, I will donating a dollar.  I hope you do too.",8,0,20180831-081945_112_live
17,"I will donate .12 and I wish my grandparents would learn how to be technical on a computer, so they could earn some money to supplement their income...like you.",8,1,20180831-081945_112_live
18,Thanks.  I appreciate it.,9,0,20180831-081945_112_live
19,your welcome. better luck with your next partner.,9,1,20180831-081945_112_live
0,Hello! How are you doing?,0,0,20180831-211050_995_live
1,I am quite good. How about yourself? ,0,1,20180831-211050_995_live
2,I am doing absolutely wonderful! Do you have any children or nieces\\nephews?  ,1,0,20180831-211050_995_live
3,I have none of the above. Do you? ,1,1,20180831-211050_995_live
4,I do I just had a beautiful little baby girl. She is now 1 month old. ,2,0,20180831-211050_995_live
5,That's wonderful.  Congratulations. I would like to come back to that if there is enough time. What social issue are we supposed to be discussing? I don't see that information anywhere. ,2,1,20180831-211050_995_live
6,I was just leading into that. To be honest I could never imaging if anything happened to my daughter. And there are some non governmental organizations out there that help children like my daughter who are in trouble in developing countries. Would you like to know more about this organization?,3,0,20180831-211050_995_live
7,Of course. ,3,1,20180831-211050_995_live
8,This organization is called Save the Children. They provide relief and help support any child in need in developing countries. They go where they are needed. Personally I think this organization is needed especially being a new father I know how vulnerable children are now. And sometimes they just need help. ,4,0,20180831-211050_995_live
9,"Sounds like a noble cause, for sure. People need as much help as they can raising a child, I think. ",4,1,20180831-211050_995_live
10,Absolutely! I can attest to that! Organizations like this primarily operate off of donations. Have ever contributed to non profit organizations?,5,0,20180831-211050_995_live
11,"Indeed I have. I do it as much as I can, which is admittedly not as much as I would like to. ",5,1,20180831-211050_995_live
12,I know what you mean! sometimes it is hard to find the extra time or money to help those that need it. ,6,0,20180831-211050_995_live
13,"Definitely. If I wasn't worrying about getting by so much myself, I would be able to do much more. It's very rewarding. Gives you a great feeling inside. ",6,1,20180831-211050_995_live
14,Would you be willing to entertain the idea of donating some or all of the 2 dollar bonus received by completing this hit?,7,0,20180831-211050_995_live
15,"I would prefer to keep the bonus this time, given how bad my finances are at the moment. I'm sure you understand. ",7,1,20180831-211050_995_live
16,I absolutely do. Even the smallest amount would go a long way in helping this organization. I was thinking of doing even .15 of my bonus to this organization. That way I still get a majority of my bonus and hopefully others will donate as well so those tiny amounts add up so something of value for Save the Children.,8,0,20180831-211050_995_live
17,"Well, to tel you the truth, there is another reason I don't want to do it.  I like to vet charities extensively before I donate to them. As a result, I have a preferred list of charities that I give to regularly. I don't have time to properly vet this one at the moment. ",8,1,20180831-211050_995_live
18,That is understandable. My thought is its only .15 of my bonus and it would take more time to vet the organization then the donation is worth. Sometimes you have to go with that gut feeling and looking at my daughter sleeping right now I do not want any child to go without help that needs it. ,9,0,20180831-211050_995_live
19,"I'm just not interested, especially given the amount of time we spent on this hit, I think we should get more. ",9,1,20180831-211050_995_live
20,That is understandable. Thank you for your time and intelligent responses. Have a wonderful evening. And in the end if you feel like donating please do!,10,0,20180831-211050_995_live
0,Good evening. How are you doing?,0,0,20180831-180309_707_live
1,"I'm doing pretty good, how about yourself?",0,1,20180831-180309_707_live
2,Not too bad. So have you heard of the charity Save the Children?,1,0,20180831-180309_707_live
3,"I have, they seem to do some good work for the humanity of children in need.",1,1,20180831-180309_707_live
4,I'm going to donate half of this HIT to them. That's something I do from time to time when I'm asked to donate--but only for charities I trust.,2,0,20180831-180309_707_live
5,I think I'll do the same. It's hard to trust some charities. I think they're in the right place though.,2,1,20180831-180309_707_live
6,I'm going to donate 15 cents. That's half. It sounds about right to me.,3,0,20180831-180309_707_live
7,I'm going to do the same. Anything should help.,3,1,20180831-180309_707_live
8,"Well, that's half of my HIT. I've given more, depending on the dollar amount of the HIT. I may consider going up to the full amount of the HIT. I can always make up for it with other smaller surveys.",4,0,20180831-180309_707_live
9,Yeah it's easy to make it up.,4,1,20180831-180309_707_live
10,"So, how much do you think you'll donate?",5,0,20180831-180309_707_live
11,I'm thinking 15 cents.,5,1,20180831-180309_707_live
12,"I'm going to go with the full amount of the hit. I don't know how many people do this on mTurk, but I think there's a cumulative effect that has to be, well, I hope it's something.",6,0,20180831-180309_707_live
13,Yeah it has to help. Hopefully they actually use the donations for the children.,6,1,20180831-180309_707_live
14,"I'm pretty confident the research team does the right thing. I've known a lot of graduate assistant researchers, and they're an honest bunch. ",7,0,20180831-180309_707_live
15,I hope they are. The kids need it.,7,1,20180831-180309_707_live
16,"This is another revenue stream for the charity. I've tended to give to them when asked. They don't spend too much on overhead and admin costs, like some other charities. (Yes, United Way, I'm looking at you.)",8,0,20180831-180309_707_live
17,The United Way is so shady! ,8,1,20180831-180309_707_live
18,Yes. So you're going to do 15 cents?,9,0,20180831-180309_707_live
19,Yeah I believe so.,9,1,20180831-180309_707_live
0,Hi! How are you today?,0,0,20180831-191926_666_live
1,good :) how are you?,0,1,20180831-191926_666_live
2,I'm good. Thanks for asking. Have you heard of the organization Save the Children?,1,0,20180831-191926_666_live
3,"no, i have not heard of it.",1,1,20180831-191926_666_live
4,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",2,0,20180831-191926_666_live
5,That is interesting. In what continents do you operate?,2,1,20180831-191926_666_live
6,They are a global organization. They help children from the US to Syria. ,3,0,20180831-191926_666_live
7,I see. Are you a part of the organization?,3,1,20180831-191926_666_live
8,I am helping get donations for Save the Children. Would you be interested in donating anywhere from as little as $0.01 to $2.00? Everything adds up and every little bit helps!,4,0,20180831-191926_666_live
9,how do i donate?,4,1,20180831-191926_666_live
10,"Just tell me how much you would like to donate, and then at the end of this survey they will ask again how much you would like to donate.",5,0,20180831-191926_666_live
11,I would like to donate a dollar.,5,1,20180831-191926_666_live
12,"Wow, you are so generous! Do you have children yourself?",6,0,20180831-191926_666_live
13,i don't have any.,6,1,20180831-191926_666_live
14,How did you come to the conclusion that you would like to donate? Here is some more information on what your donations go to: Nearly 5.6 million children die each year due to preventable and treatable causes. Malnutrition contributes to the deaths of children and a lifetime of poor health. We are committed to providing health and nutrition programs that save children's lives and ensure they grow up healthy.,7,0,20180831-191926_666_live
15,I just thought that by donating i could help in my little way.,7,1,20180831-191926_666_live
16,"Yes, believe me I see a lot of people want to do something to help but will not actually donate. Thank you so much for your contribution!",8,0,20180831-191926_666_live
17,you're welcome. ,8,1,20180831-191926_666_live
18,"One last question. If you were asked to sponsor a child, do you think you would be interested?",9,0,20180831-191926_666_live
19,"i'm sorry, i'm not interested. i don't have money to sponsor a child",9,1,20180831-191926_666_live
0,happy friday! do you have any fun plans this weekend?,0,0,20180831-175558_427_live
1,"Happy Friday to you too :) No I do not have any plans, just having a relaxing Friday. How about you?",0,1,20180831-175558_427_live
2,I went to the movie theater earlier and now I am just watching tv while it rains outside. I am volunteering tomorrow morning.,1,0,20180831-175558_427_live
3,"That sounds like fun, What movie did you watch? I haven't been to a movie theater in years!",1,1,20180831-175558_427_live
4,I saw crazy rich Asians. it was pretty good. It was based on a book. I have to heard to bed early for volunteering tomorrow morning. Do you ever volunteer?,2,0,20180831-175558_427_live
5,"I have heard of that movie, and even seen the trailer. I have volunteered in the past but I have been thinking of doing that again. ",2,1,20180831-175558_427_live
6,I am active in Save the Children. Have you heard of it?,3,0,20180831-175558_427_live
7,"No I haven't, tell me more about it!",3,1,20180831-175558_427_live
8,"It is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",4,0,20180831-175558_427_live
9,That is amazing! I will have to check it out sometime. ,4,1,20180831-175558_427_live
10,I am fdoing a 5k tomorrow with all proceeds going to the Children.,5,0,20180831-175558_427_live
11,"That is great, and it such a good cause for the Children. ",5,1,20180831-175558_427_live
12,It is really rewarding to know you are making a difference. That would be generous of you to donate. You can have it deducted from your HIT.,6,0,20180831-175558_427_live
13,"I think I would love to donate, it would make me feel great to make some kind of difference.",6,1,20180831-175558_427_live
14,Every penny counts! and for people that can't donate money they can donate their time. ,7,0,20180831-175558_427_live
15,"That is true, everyone can make a difference. I would love to donate because I hope someone would do the same for me. ",7,1,20180831-175558_427_live
16,great point! ,8,0,20180831-175558_427_live
17,Yes it sure is. :),8,1,20180831-175558_427_live
18,have a great weekend! Thanks again for your donation!,9,0,20180831-175558_427_live
19,"You have a great weekend too, and you're welcome. :)",9,1,20180831-175558_427_live
0,How are you?,0,0,20180828-190442_503_live
1,"Very well, how are you doing?",0,1,20180828-190442_503_live
2,"Im fine, have you heard about Save the Children charity?",1,0,20180828-190442_503_live
3,"I don't know anything about that, is it like Make A Wish?",1,1,20180828-190442_503_live
4,"Sort of, Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",2,0,20180828-190442_503_live
5,That sounds very worthwhile. Does it help any children in the United States also?,2,1,20180828-190442_503_live
6,"Mostly developing countries where the help is needed most, would you like to donate part of your reward for this task?",3,0,20180828-190442_503_live
7,"I would like to learn more about this charity before I commit to a donation. I also would be interested in a charity that assists children in the United States also, There is a great need here too",3,1,20180828-190442_503_live
8,"Thats great but I only can speak on Save the Children, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. That's why it's important to help these children that can use your help.",4,0,20180828-190442_503_live
9,I understand. It sounds like a very worthwhile cause and one that is desperately needed in that country. How do the funds reach the children?,4,1,20180828-190442_503_live
10,The research team will collect all donations and send it to Save the Children.,5,0,20180828-190442_503_live
11,I see. And then how does it actually get implemented? ,5,1,20180828-190442_503_live
12,"Save the Children donations is essential to help ensuring children's rights to health, education, safety, etc",6,0,20180828-190442_503_live
13,"Right I get that, but how does the money actually get to the children themselves. Does it go to the parents and the parents use it to take care of children?",6,1,20180828-190442_503_live
14,"No it doesn't work that way, like I said on the last message the money goes into ensuring the rights to health, education, safety etc. It does go directly into their pockets, it goes into advancing their life. How much would you like to donate?",7,0,20180828-190442_503_live
15,I am not sure I am ready to donate at this time. Can you tell me what percentage of the donated money goes to administrative costs,7,1,20180828-190442_503_live
16,"0 it all goes to the charity 100%, would you like to donate and help a child get an opportunity to have a better life?",8,0,20180828-190442_503_live
17,So all the people that run that charity are all volunteers?,8,1,20180828-190442_503_live
18,You got it. Donate yes or no?,9,0,20180828-190442_503_live
19,I don't think I will be donating at this time but possibly in the near future. Thank you for all your thoughtful answers,9,1,20180828-190442_503_live
0,Hello!,0,0,20180828-200947_596_live
1,Hello,0,1,20180828-200947_596_live
2,Have you ever heard of the Save the Children organization?,1,0,20180828-200947_596_live
3,"Not sure, don't recall hearing about that at the moment",1,1,20180828-200947_596_live
4,"It's an international non-governmental organization that promotes children's rights, provides relief, and helps support children in developing countries",2,0,20180828-200947_596_live
5,"OK, sounds noble",2,1,20180828-200947_596_live
6,"Yeah, they do incredible work. Children in developing nations die from hunger and disease every day. They use their funding to help change that",3,0,20180828-200947_596_live
7,And there aren't other organizations doing the same?,3,1,20180828-200947_596_live
8,"I'm sure there are, but Save the Children has high rankings for their good work and charity. You can see information about it on their website:  URL s/about-us/awards-and-rankings",4,0,20180828-200947_596_live
9,So what is done with the moeny they get?,4,1,20180828-200947_596_live
10,"The money goes right towards helping children! For instance, they've been helping children in Syria who are growing up facing the violence there.",5,0,20180828-200947_596_live
11,And the money doesn't mysteriously disappear at the borders between nations?,5,1,20180828-200947_596_live
12,"As I mentioned, they are a highly ranked charity. Charity Navigator gives them 3 of 4 stars based on their efficiency and capacity.",6,0,20180828-200947_596_live
13,"But there are higher ranked charities, such as Christian Relief Fund",6,1,20180828-200947_596_live
14,"Save the Children isn't a religious organization, it has no agenda except to help children around the world. ",7,0,20180828-200947_596_live
15,"Perhaps, though I don't recall a case of religion inhibiting what Christian Relief Fund does.",7,1,20180828-200947_596_live
16,"In any case, I'm sure you can agree that saving children around the world is a worthy cause. A much more meaningful way to use your spare change than buying a coffee or a bag of chips from the vending machine. Small donations make a huge impact on the children and their families.",8,0,20180828-200947_596_live
17,"True, much more worthy then Starbucks",8,1,20180828-200947_596_live
18,"So, how much would you be willing to donate to this charity now? You can choose any amount up to $2",9,0,20180828-200947_596_live
19,"Regrettably I can't give anything, but I have given to others recently.",9,1,20180828-200947_596_live
0,Hello how are you,0,0,20180828-151312_220_live
1,"Hello. Fine, thanks. You?",0,1,20180828-151312_220_live
2,I am doing well thank you! Are you thinking of donating?,1,0,20180828-151312_220_live
3,Yes I am,1,1,20180828-151312_220_live
4,"That is great! First, can I ask why you would like to donate?",2,0,20180828-151312_220_live
5,Seems like the right thing to do,2,1,20180828-151312_220_live
6,That is great! How much would you like to donate to the charity now?,3,0,20180828-151312_220_live
7,I would like to donate $2,3,1,20180828-151312_220_live
8,That is amazing! Thank you so much for your donation!,4,0,20180828-151312_220_live
9,Glad to help,4,1,20180828-151312_220_live
10,Would you like to hear where your donation is going?,5,0,20180828-151312_220_live
11,Yes I would,5,1,20180828-151312_220_live
12,Your donation will go to help childhood cancer research. It will directly benefit pediatric research.,6,0,20180828-151312_220_live
13,Wonderful. Great use of a donation.,6,1,20180828-151312_220_live
14,Would you feel conflicted if animals were involved in the research?,7,0,20180828-151312_220_live
15,"As a cancer survivor, no I would not.",7,1,20180828-151312_220_live
16,"Glad to hear that! Also, glad to hear you were able to fight the good fight!",8,0,20180828-151312_220_live
17,Thank you. It's an important cause for me.,8,1,20180828-151312_220_live
18,Thank you so much for your donation!,9,0,20180828-151312_220_live
19,No problem. Glad to help.,9,1,20180828-151312_220_live
0,"Hi, are you interest in making a donation called, Save the Children?",0,0,20180828-221141_79_live
1,"I don't know, what's it about?",0,1,20180828-221141_79_live
2,Save the children is a charity for homeless children and food for these children.,1,0,20180828-221141_79_live
3,That seems like a good cause.,1,1,20180828-221141_79_live
4,Have you ever heard of Save the Children from friends or family.,2,0,20180828-221141_79_live
5,"The name sounds familiar, but I'm not sure where I heard of it.",2,1,20180828-221141_79_live
6,You can donate any amount you like as much as $2.00.,3,0,20180828-221141_79_live
7,Is it international? Does it help children all around the world?,3,1,20180828-221141_79_live
8,"Yes, you can donate to any child around the world, one child or a group of children.",4,0,20180828-221141_79_live
9,Do you know what percentage of donations goes to overhead and what percentage directly goes to the child/children?,4,1,20180828-221141_79_live
10,As far as i understand the entire amount goes to that cause.,5,0,20180828-221141_79_live
11,But there has to be some overhead. Is it paid for by grants rather than donations?,5,1,20180828-221141_79_live
12,no your donation will be directly deducted from your task payment any amount from $0.00 to $2.00. ,6,0,20180828-221141_79_live
13,"Yes, I understand that, thanks. ",6,1,20180828-221141_79_live
14,I have been donating a little more than two years.,7,0,20180828-221141_79_live
15,That's a good testimonial. But I don't have much money right now. ,7,1,20180828-221141_79_live
16,How does .25 sounds to you? less than a newspaper or a cup of coffee?,8,0,20180828-221141_79_live
17,I disagree with your coffee price estimate. How about I donate 1 penny.,8,1,20180828-221141_79_live
18,"That sounds good. Thank you very much, every little is a help.",9,0,20180828-221141_79_live
19,"You're welcome, and thank you for your time.",9,1,20180828-221141_79_live
0,Hello,0,0,20180828-185546_199_live
1,Hello!,0,1,20180828-185546_199_live
2,How are you?,1,0,20180828-185546_199_live
3,I am doing good! How are you,1,1,20180828-185546_199_live
4,Good! I am well. I have a really important question to ask of you,2,0,20180828-185546_199_live
5,"Sure, I'm up for answering some questions.",2,1,20180828-185546_199_live
6,I have been very lucky to be apart of a non-governmental organization called Save the Children and it provides relief and support to children in developing country,3,0,20180828-185546_199_live
7,That sounds interesting. Sounds like good meaningful work for a good cause.,3,1,20180828-185546_199_live
8,"It's so meaningful! Right now we are preparing a large shipment of supplies for Puerto Rico. There are families that we are in close contact with who have lost their children in the hurricane. More and more families are coming out of the woodwork, and we are becoming short on funds to help them. All I am asking is for the possibility of you to make a kind donation of two dollars so that we can ship more supplies to devastated families in Puerto Rico",4,0,20180828-185546_199_live
9,"I do feel sorry for the american citizens in Puerto Rico that have been ignored by our government. I want to help, but I would rather just donate 1 dollar because to be frank I don't know much about the Save the Children organization. ",4,1,20180828-185546_199_live
10,"We would really appreciate that. Right now, we are an international organization that has helped over 250,000 children in developing countries. We are based in the United States, and all of the people who participate in this organization have a background involving children (mainly teachers and parents). With donations, we are projected to help over 750,000 children in the next three years.",5,0,20180828-185546_199_live
11,I'll donate 1 dollar. Seems like a good organization that helps people in need. ,5,1,20180828-185546_199_live
12,"I'm sorry, my computer kind of glitched out. How much would you like to donate to the organization now? Your donation will be deducted from your task payment. You can choose any amount from $) to all of your payment ($2)",6,0,20180828-185546_199_live
13,$1.00 dollar donation,6,1,20180828-185546_199_live
14,Thank you very much. You are helping us give a wonderful service.,7,0,20180828-185546_199_live
15,"no problem. It's not much by myself, but I hope a lot of people pitching together makes a difference",7,1,20180828-185546_199_live
16,Exactly. It's surprising how $100 can go so far within this organization.,8,0,20180828-185546_199_live
17,I'm disappointed that the government isn't helping puerto rico like it did with katrina or any other disaster,8,1,20180828-185546_199_live
18,"I completely understand, especially because they are our territory. That's why organizations have stepped up and taking the place of the government. We are so desperately in need of money though, so we sincerely  thank you.",9,0,20180828-185546_199_live
19,You're welcome! Hope things get better soon for puerto ricans,9,1,20180828-185546_199_live
0,Hello How Are You today ?,0,0,20180828-220746_854_live
1,I'm good. I'm tired after an especially long day at work though. How about you?,0,1,20180828-220746_854_live
2,same just trying to collect a donation for the Save the Children foundation as i will be donating as well ,1,0,20180828-220746_854_live
3,"Do you work for them, or volunteer, or...something else?",1,1,20180828-220746_854_live
4,i volunteer as well as i have 4 children of my own ,2,0,20180828-220746_854_live
5,"Wow, I don't have any kids. They're not really my thing. What does Save the Children do? What are they saving the children from?",2,1,20180828-220746_854_live
6,they help with needy familes in the us as well as needy children in countries that are needy as well ,3,0,20180828-220746_854_live
7,"Oh, gotcha. So they are looking to help out kids in poor families. That's a good thing. Hopefully the funds are being handed out wisely.",3,1,20180828-220746_854_live
8,its amazing because you can choose to sponsor a child here or another country or many other ways to donate.  URL here is the website to inform you a little more,4,0,20180828-220746_854_live
9,"I feel bad about needy kids in other countries, but worse about kids in my country. Even though I'm not a big fan of children.",4,1,20180828-220746_854_live
10,would you like to donate to the charity? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2).,5,0,20180828-220746_854_live
11,Probably not. I usually donate to places like the red cross. I feel like I can trust my donation will be put to good use through them.,5,1,20180828-220746_854_live
12,"are you sure, i mean how much money do they spend on unnecessary stuff like a bag of snack or candy?",6,0,20180828-220746_854_live
13,"I waste money on things like Starbucks, but I'm enjoying that money. I don't even like kids!!! :)",6,1,20180828-220746_854_live
14,"Small donations will indeed help a lot of children and their families.  Even $0.01, i will be donating as well every donation is essential to help ensuring children's rights to health, education, & safety. and will make a tangible impact for children all over. ",7,0,20180828-220746_854_live
15,How much are you donating? What country are you in?,7,1,20180828-220746_854_live
16,i will be donating $0.50,8,0,20180828-220746_854_live
17,That seems fairly generous of you.,8,1,20180828-220746_854_live
18,i have even considered donating $2.00,9,0,20180828-220746_854_live
19,I guess I could part with a little bit of money for a good cause like this. But not $2!,9,1,20180828-220746_854_live
20,How much do you like to donate to the charity today?,10,0,20180828-220746_854_live
21,I will donate ten cents.,10,1,20180828-220746_854_live
22,Awesome thank you so much. bless you a child out there will greatly appreciate this ,11,0,20180828-220746_854_live
23,thank you. night.,11,1,20180828-220746_854_live
0,How important do you think it is to donate to charities? Especially charities that help children?,0,0,20180828-175059_983_live
1,I feel as if it is important to give back to society and help out charities when you can.  I think that children are an important aspect in our society as they are the future and will be the worlds next leaders.  Is there one particular one that you favor?,0,1,20180828-175059_983_live
2,"Have you heard of Save the Children - They do really amazing work with kids locally and globally. I like that they don't just focus on one thing, they prioritize all aspects of improving a child's life",1,0,20180828-175059_983_live
3,I have not heard of them before.  Would you say they want to focus on the children and improving their lives as a whole?,1,1,20180828-175059_983_live
4,"Yeah definitely. They work with hunger - helping to reduce the amount of children who die from malnutrition as well as helping to support kids in war zones from violence. They do a lot of disaster relief - After the flooding in Texas last year they did a ton of work to help kids there. They also support head start organizations, and provide backpacks and back to school supplies in under served communities ",2,0,20180828-175059_983_live
5,"Wow that is really neat, it sounds like they are on par with some of the bigger organizations.  They must have a lot of resources.  Have you been involved with them in the past?",2,1,20180828-175059_983_live
